"FOURNISSEUR","RÉPARTITION","SERVICE","DIRECTION","NO DE DOSSIER","OBJET","NO DÉCISION","DATE SIGNATURE","MONTANT"
"NICHE TECHNOLOGIE","DÉPENSES MIXTES D'ADMINISTRATION GÉNÉRALE. 51,9 % AGGLOMÉRATION. 48,1 % VILLE","SERVICE DES TECHNOLOGIES DE L'INFORMATION","DIRECTION","1136075004","APPROUVER L'AVENANT NO 2 MODIFIANT LA CONVENTION CONCLUE ENTRE LA VILLE DE MONTRÉAL ET LA FIRME NICHE TECHNOLOGY INC. (CG07 0437) DANS LE CADRE DU PROJET ""MONTRÉAL - INSCRIPTION ET RECHERCHE DE L'INFORMATION DE SÉCURITÉ (M- IRIS)"" AFIN DE LIBÉRER LA FIRME DE SES OBLIGATIONS RELATIVES À L'IMPLANTATION DES MODULES «ANALYSE ET TABLEAUX DE BORD» ET D'IMPLANTER LES MODULES ""BERTILLONNAGE"" ET ""DÉTENTION"". ","CG13 0391",2013-09-30,"331033"
"DISTRIBUTION T.I.M ","ENTENTE CADRE. RÉPARTITION EN FONCTION DE L'UTILISATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DE L'APPROVISIONNEMENT","1136133002","AUTORISER LA PROLONGATION DE L'ENTENTE-CADRE COLLECTIVE CONCLUE AVEC LA FIRME DISTRIBUTION T.I.M POUR L'IMPRESSION ET LA DISTRIBUTION PORTE-À-PORTE D'AVIS OU BULLETINS D’INFORMATION AUX RÉSIDANTS DE L'ÎLE DE MONTRÉAL - APPEL D'OFFRES PUBLIC NO.12-12135 (1 SOUMISSIONNAIRE) (MONTANT ESTIMÉ DE L'ENTENTE 231 789,60 $)","CG13 0392",2013-09-30,"231780"
"CONSTRUCTION URBEX INC.","100 % AGGLOMÉRATION","SERVICE DE LA QUALITÉ DE VIE","DIRECTION DE LA CULTURE ET DU PATRIMOINE","1131246006","ACCORDER UN CONTRAT À URBEX CONSTRUCTION INC., POUR L'EXÉCUTION DES TRAVAUX D'AMÉNAGEMENT DU CHEMIN DE CEINTURE DANS LE BOIS D'OUTREMONT - DÉPENSE TOTALE DE 2 053 811,58 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC NO 6435 - (8 SOUMISSIONNAIRES).","CG13 0393",2013-09-30,"1820439"
"ÉNERGÈRE CONSULTANTS INC.","48,32 % AGGLOMÉRATION. 51,68 % VILLE ","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DES STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES","1136040003","OCTROYER UN CONTRAT À ÉNERGÈRE CONSULTANTS INC. POUR LE PROJET DE CONVERSION DU MAZOUT ET D'AMÉLIORATION ÉNERGÉTIQUE DE 12 BÂTIMENTS - DÉPENSE TOTALE DE 1 764 689,76 $ TAXES INCLUSES - APPEL D'OFFRES PUBLIC 5613 - 4 SOUMISSIONNAIRES / APPROUVER UN PROJET DE CONTRAT À CETTE FIN","CG13 0394",2013-09-30,"1656041"
"7218397 CANADA INC.","100 % AGGLOMÉRATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DES STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES","1134565007","APPROUVER LA TROISIÈME CONVENTION DE MODIFICATION DE BAIL PAR LEQUEL LA VILLE LOUE, DE 7218397 CANADA INC., UN ESPACE À BUREAUX SITUÉ AU 5995, BOULEVARD DÉCARIE, POUR LE POSTE DE QUARTIER 26 DU SPVM POUR UN TERME DE 16 MOIS, SOIT DU 1ER FÉVRIER 2014 AU 31 MAI 2015. LA DÉPENSE TOTALE POUR LE TERME, INCLUANT LES TAXES, EST DE 290 383,74 $. BÂTIMENT 3250","CG13 0396",2013-09-30,"290384"
"BOSCOVILLE 2000","100 % AGGLOMÉRATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DES STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES","1134565008","APPROUVER LE PROJET DE SOUS-BAIL PAR LEQUEL LA VILLE SOUS-LOUE DE BOSCOVILLE 2000, DES ESPACES SITUÉS AU 10 950, BOULEVARD PERRAS À MONTRÉAL, POUR LES BESOINS DU CENTRE DE FORMATION DU SERVICE DE POLICE DE LA VILLE DE MONTRÉAL POUR UN TERME DE 3 ANS, SOIT DU 1ER AVRIL 2013 AU 31 MARS 2016. LE LOYER TOTAL EST DE 378 268 $, INCLUANT LES TAXES. BÂTIMENTS 8202 ET 8203.","CG13 0397",2013-09-30,"378268"
"SOLUTIONS MODEX INC.","100 % AGGLOMÉRATION","SERVICE DE L'EAU","DIRECTION DE LA GESTION STRATÉGIQUE DES RÉSEAUX D'EAU","1132518001","ACCORDER UN CONTRAT DE SERVICES PROFESSIONNELS À SOLUTIONS MODEX INC., POUR L'ACQUISITION ET LA PARAMÉTRISATION D'UN LOGICIEL D'AIDE À LA DÉCISION SERVANT À LA PRODUCTION DES PLANS D'INTERVENTION INTÉGRÉ DES RÉSEAUX D'AQUEDUC, D'ÉGOUTS ET DE VOIRIE SUR LE TERRITOIRE DE L'AGGLOMÉRATION, POUR UNE SOMME MAXIMALE DE 2 250 635,63 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 13-12155 - (1 SOUMISSIONNAIRE)  / APPROUVER UN PROJET DE CONVENTION À CETTE FIN.","CG13 0398",2013-09-30,"2250636"
"BRENNTAG CANADA INC.","100 % AGGLOMÉRATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DE L'APPROVISIONNEMENT","1134119004","CONCLURE 6 ENTENTES-CADRES COLLECTIVES D'UNE DURÉE DE 36 MOIS POUR LA FOURNITURE DE PRODUITS CHIMIQUES UTILISÉS POUR LES USINES DE FILTRATION ET DE PRODUCTION D'EAU POTABLE - MONTANT TOTAL ESTIMÉ DES ENTENTES À 6 830 029,71 $ - APPEL D'OFFRES PUBLIC 13-12742 (11 SOUM.).","CG13 0399",2013-09-30,"313882"
"CLEARTECH INDUSTRIES INC.","100 % AGGLOMÉRATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DE L'APPROVISIONNEMENT","1134119004","CONCLURE 6 ENTENTES-CADRES COLLECTIVES D'UNE DURÉE DE 36 MOIS POUR LA FOURNITURE DE PRODUITS CHIMIQUES UTILISÉS POUR LES USINES DE FILTRATION ET DE PRODUCTION D'EAU POTABLE - MONTANT TOTAL ESTIMÉ DES ENTENTES À 6 830 029,71 $ - APPEL D'OFFRES PUBLIC 13-12742 (11 SOUM.).","CG13 0399",2013-09-30,"2195724"
"JOHN MEUNIER INC.","100 % AGGLOMÉRATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DE L'APPROVISIONNEMENT","1134119004","CONCLURE 6 ENTENTES-CADRES COLLECTIVES D'UNE DURÉE DE 36 MOIS POUR LA FOURNITURE DE PRODUITS CHIMIQUES UTILISÉS POUR LES USINES DE FILTRATION ET DE PRODUCTION D'EAU POTABLE - MONTANT TOTAL ESTIMÉ DES ENTENTES À 6 830 029,71 $ - APPEL D'OFFRES PUBLIC 13-12742 (11 SOUM.).","CG13 0399",2013-09-30,"215233"
"KEMIRA WATER SOLUTIONS CANADA INC.","100 % AGGLOMÉRATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DE L'APPROVISIONNEMENT","1134119004","CONCLURE 6 ENTENTES-CADRES COLLECTIVES D'UNE DURÉE DE 36 MOIS POUR LA FOURNITURE DE PRODUITS CHIMIQUES UTILISÉS POUR LES USINES DE FILTRATION ET DE PRODUCTION D'EAU POTABLE - MONTANT TOTAL ESTIMÉ DES ENTENTES À 6 830 029,71 $ - APPEL D'OFFRES PUBLIC 13-12742 (11 SOUM.).","CG13 0399",2013-09-30,"2492018"
"PRODUCT PERFORMANCE GENERAL CHEMICAL LTD","100 % AGGLOMÉRATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DE L'APPROVISIONNEMENT","1134119004","CONCLURE 6 ENTENTES-CADRES COLLECTIVES D'UNE DURÉE DE 36 MOIS POUR LA FOURNITURE DE PRODUITS CHIMIQUES UTILISÉS POUR LES USINES DE FILTRATION ET DE PRODUCTION D'EAU POTABLE - MONTANT TOTAL ESTIMÉ DES ENTENTES À 6 830 029,71 $ - APPEL D'OFFRES PUBLIC 13-12742 (11 SOUM.).","CG13 0399",2013-09-30,"669729"
"UNIVAR CANADA LTÉE","100 % AGGLOMÉRATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DE L'APPROVISIONNEMENT","1134119004","CONCLURE 6 ENTENTES-CADRES COLLECTIVES D'UNE DURÉE DE 36 MOIS POUR LA FOURNITURE DE PRODUITS CHIMIQUES UTILISÉS POUR LES USINES DE FILTRATION ET DE PRODUCTION D'EAU POTABLE - MONTANT TOTAL ESTIMÉ DES ENTENTES À 6 830 029,71 $ - APPEL D'OFFRES PUBLIC 13-12742 (11 SOUM.).","CG13 0399",2013-09-30,"943444"
"LES EXCAVATIONS GILBERT THÉORÊT INC.","100 % AGGLOMÉRATION","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","DIRECTION DES INFRASTRUCTURES","1134822027","ACCORDER UN CONTRAT À LES EXCAVATIONS GILBERT THÉORÊT INC., POUR LA RECONSTRUCTION D'UN ÉGOUT COMBINÉ (UNITAIRE), D'UNE CONDUITE D'EAU SECONDAIRE ET D'UNE CONDUITE D'EAU PRINCIPALE DANS LA RUE MCTAVISH, DE LA RUE SHERBROOKE À L'AVENUE DOCTEUR-PENFIELD. ARRONDISSEMENT: VILLE-MARIE. DÉPENSE TOTALE DE 4 598 512,28 $ (CONTRAT: 4 178 512,28 $ + INCIDENCES: 420 000,00$), TAXES INCLUSES. APPEL D'OFFRES PUBLIC 222401 - 3 SOUMISSIONNAIRES","CG13 0400",2013-10-01,"4178512"
"MDA ARCHITECTES, BOUTILLETTE PARIZEAU (BPA) ET NICOLET CHARTRAND KNOLL LTÉE (NCK)","100 % AGGLOMÉRATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DES STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES","1132961003","ACCORDER UN CONTRAT DE SERVICE PROFESSIONNELS COMPRENANT LES SERVICES PROFESSIONNELS D’UNE ÉQUIPE MULTIDISCIPLINAIRE EN ARCHITECTURE ET EN INGÉNIERIE DE BÂTIMENT (MÉCANIQUE, SPÉCIALISTE EN MÉCANIQUE DE SYSTÈMES DE TRANSPORTS VERTICAUX, ÉLECTRICITÉ, STRUCTURE ET GÉNIE CIVIL) AINSI QUE LES SERVICES EN ARCHITECTURE DE PAYSAGE ET DES PROFESSIONNELS ACCRÉDITÉS LEED AUX FIRMES MDA ARCHITECTES, BOUTILLETTE PARIZEAU (BPA) ET NICOLET CHARTRAND KNOLL LTÉE (NCK), DANS LE CADRE DE LA CONSTRUCTION D’UN NOUVEL ATELIER ET BÂTIMENT ADMINISTRATIF SUR LE SITE DU COMPLEXE DE L’USINE DE PRODUCTION D’EAU POTABLE ATWATER, POUR UNE SOMME MAXIMALE DE 2 360 704,65 $ TAXES ET CONTINGENCES INCLUSES - APPEL D'OFFRES PUBLIC # 13-12907 - (7 SOUMISSIONNAIRES) / APPROUVER UN PROJET DE CONVENTION À CETTE FIN.","CG13 0401",2013-09-30,"2360705"
"WESTBURNE DIVISION DE REXEL CANADA ELECTRIQUE INC.","100 % AGGLOMÉRATION","SERVICE DE L'EAU","DIRECTION DE L'ÉPURATION DES EAUX USÉES","1130362003"," ACCORDER UN CONTRAT À WESTBURNE ÉLECTRICITÉ INC., POUR UNE SOMME MAXIMALE DE 108 581,70 $, TAXES INCLUSES, POUR LE PRÉACHAT D'UN CENTRE DE COMMANDE DE MOTEURS, D'UN TABLEAU DE BRANCHEMENT ET D'UN COMMUTATEUR DE TRANSFERT AUTOMATIQUE POUR  LA STATION DE POMPAGE SAINT-PAUL - APPEL D'OFFRES 3279-AE - 1 SOUMISSIONNAIRE. ","CG13 0402",2013-09-30,"108582"
"COSOLTEC INC.","100 % AGGLOMÉRATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DES STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES","1136196001","ACCORDER UN CONTRAT À COSOLTEC INC. POUR RÉALISER DES TRAVAUX D'AMÉNAGEMENT D'UN ATELIER LOURD À L'USINE D'EAU POTABLE CHARLES-J. DES BAILLETS SITUÉE AU 8585, BOULEVARD DE LA VÉRENDRYE DANS L'ARRONDISSEMENT DE LASALLE (BÂTIMENT 0393) - DÉPENSE TOTALE DE 1 907 569,35 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 5669 (4 SOUMISSIONNAIRES).","CG13 0403",2013-09-30,"1799594"
"LOUISBOURG SBC S.E.C.","100 % AGGLOMÉRATION","SERVICE DE L'EAU","DIRECTION DE L'EAU POTABLE","1135879002","RÉSILIER LE CONTRAT 2011-08 USINE ATWATER ACCORDÉ À LOUISBOURG SBC, S.E.C. (CG12 0210), POUR LES TRAVAUX DE CONVERSION DE LA CHAMBRE DE CONTACT DE CHLORATION EN CANAUX – APPEL D’OFFRES PUBLIC 10 035","CG13 0404",2013-09-30,"3460829"
"CARDIN RAMIREZ JULIEN","34,28 % AGGLOMÉRATION. 65,72 % VILLE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DES STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES","1133482001","ACCORDER UN CONTRAT DE SERVICES PROFESSIONNELS À CARDIN RAMIREZ JULIEN, ARCHITECTES, SYNTHÈSE CONSULTANTS INC., INGÉNIEURS ÉLECTROMÉCANIQUE ET SDK ET ASSOCIÉS, INGÉNIEURS STRUCTURE ET GÉNIE CIVIL, POUR LA RÉALISATION DE PROJETS DE PROTECTION DE BÂTIMENTS CORPORATIFS - DÉPENSE TOTALE DE 1 128 312,34 $ - APPEL D'OFFRES PUBLIC 12-12558 (6 SOUM.) / APPROUVER UN PROJET DE CONVENTION À CET EFFET.","CG13 0405",2013-09-30,"996602"
"BUREAU DU TAXI DE MONTRÉAL","100 % AGGLOMÉRATION","DIRECTION GÉNÉRALE","CABINET DU DIRECTEUR GÉNÉRAL","1130733002","ADOPTER L'ENTENTE-CADRE ET LA CONVENTION DE PRÊT DE SERVICES ENTRE LE BUREAU DU TAXI DE MONTRÉAL ET LA VILLE DE MONTRÉAL D'UNE DURÉE DE 3 ANS À COMPTER DU 1ER JANVIER 2014 AFIN DE PERMETTRE À CETTE NOUVELLE SOCIÉTÉ PARAMUNICIPALE D'AMORCER SON MANDAT ET AUTORISER UNE CONTRIBUTION DE 3 430 469 $ POUR L'ANNÉE 2014.","CG13 0407",2013-09-30,"3430469"
"LOUIS HÉBERT UNIFORME INC.","ENTENTE CADRE. RÉPARTITION SELON UTILISATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DE L'APPROVISIONNEMENT","1136135008","CONCLURE AVEC LOUIS HÉBERT UNIFORME INC. UNE ENTENTE-CADRE D'UNE DURÉE DE 36 MOIS POUR LA FOURNITURE DES VÊTEMENTS DE PROTECTION INDIVIDUELLE CONTRE LES ARCS ET LES CHOCS ÉLECTRIQUES - APPEL D'OFFRES PUBLIC 13-12985 (1 SOUMISSIONNAIRE) - MONTANT TOTAL ESTIMÉ: 237 253.21 $, TAXES INCLUSES.","CG13 0447",2013-12-02,"237253"
"LES ENTREPRISES DE CONSTRUCTION VENTEC INC.","100 % AGGLOMÉRATION","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","DIRECTION DES INFRASTRUCTURES","1134822062","ACCORDER UN CONTRAT À LES ENTREPRISES DE CONSTRUCTION VENTEC INC., POUR LA CONSTRUCTION DE TROTTOIR MONOLITHE, REVÊTEMENT DE BÉTON, MAIL CENTRAL, PAVÉS DE GRANIT, PLANAGE, RÉFECTION DE CHAUSSÉE RIGIDE, ÉCLAIRAGE ET SIGNALISATION LUMINEUSE DANS LE CHEMIN DE LA CÔTE-SAINTE-CATHERINE À L'INTERSECTION DE L'AVENUE VINCENT-D'INDY - (DÉVELOPPEMENT DU RÉSEAU CYCLABLE 2014). ARRONDISSEMENT: OUTREMONT. DÉPENSE TOTALE DE 432 523,70 $ (CONTRAT: 363 523,70 $ + INCIDENCES: 69 000,00 $), TAXES INCLUSES. APPEL D'OFFRES PUBLIC 263802 - 2 SOUMISSIONNAIRES","CG13 0448",2013-12-02,"363524"
"1714141 ALBERTA LTD ( LES PÉTROLES PARKLAND)","100 % AGGLOMÉRATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DE L'APPROVISIONNEMENT","1135317002","AUTORISER LA CESSION DU CONTRAT OCTROYÉ À TRANSMONTAIGNE MARKETING CANADA INC. POUR LA FOURNITURE, SUR DEMANDE, D'ESSENCE SUPER ET DIESEL ARCTIQUE, À LA COMPAGNIE 1714141 ALBERTA LTD ( LES PÉTROLES PARKLAND); CONTRAT SE TERMINANT LE 21 DÉCEMBRE 2013, AVEC DEUX OPTIONS DE PROLONGATION D'UN AN. APPEL D'OFFRES 11-11737 (2 SOUMISSIONS)/ APPROUVER À CETTE FIN UN PROJET DE CONVENTION DE CESSION ET DE CONSENTEMENT. AUTORISER LA CESSION DU CONTRAT OCTROYÉ À TRANSMONTAIGNE MARKETING CANADA INC. POUR LA FOURNITURE, SUR DEMANDE, DE DIESEL CLAIR ET BIODIESEL 1714141 ALBERTA LTD ( LES PÉTROLES PARKLAND); CONTRAT SE TERMINANT LE 21 DÉCEMBRE 2015, AVEC DEUX OPTIONS DE PROLONGATION D'UN AN . APPEL D'OFFRES PUBLIC STM NO. 4284-06-12-54 (3 SOUMISSIONS)/APPROUVER À CETTE FIN UN PROJET DE CONVENTION DE CESSION ET DE CONSENTEMENT.","CG13 0449",2013-12-02,"34149430"
"CHEMISE EMPIRE LTÉE","100 % AGGLOMÉRATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DE L'APPROVISIONNEMENT","1135281004","AUTORISER LA PROLONGATION, POUR UNE PÉRIODE DE DOUZE (12) MOIS SUPPLÉMENTAIRES, DE L'ENTENTE CADRE CONCLUE AVEC CHEMISE EMPIRE LTÉE (CG11 0444), POUR LA FOURNITURE DE CHEMISES D'UNIFORME POUR LE SERVICE DE POLICE DE LA VILLE DE MONTRÉAL - (MONTANT ESTIMÉ POUR LA PROLONGATION : 400 826,99 $).","CG13 0450",2013-12-02,"400826"
"GROUPE TECHNA","82,2 % AGGLOMÉRATION. 17,8 % VILLE","SERVICE DE POLICE DE LA VILLE DE MONTRÉAL","DIRECTION DES OPÉRATIONS - ACTIVITÉS DE SOUTIEN","1130206008","APPROUVER LE RENOUVELLEMENT DU CONTRAT INTERVENU AVEC LE GROUPE TECHNA POUR L'ENTRETIEN DES IMPRIMANTES ET DU LOGICIEL DU SYSTÈME D'ÉMISSION DE CONSTATS INFORMATISÉS (SÉCI), POUR LA SOMME MAXIMALE DE 396 202,17$, TAXES INCLUSES, POUR LA PÉRIODE DU 1ER  JANVIER 2014 AU 31 DÉCEMBRE 2014, LE TOUT CONFORMÉMENT À L'ARTICLE 15.2 DE LA CONVENTION INITIALE (CG07  0102) ET À LA PROPOSITION EN DATE DU 12 SEPTEMBRE 2013.","CG13 0451",2013-12-02,"396202"
"SCOUTS DU 122IÈME MARIE-REINE DE LA PAIX,","100 % AGGLOMÉRATION","SERVICE DE LA QUALITÉ DE VIE","DIRECTION DES GRANDS PARCS ET DU VERDISSEMENT","1133277001","APPROUVER UN PROJET DE CONVENTION SUR 2 ANS, SANS CONTREPARTIE FINANCIÈRE, AVEC LE GROUPE SCOUTS DU 122IÈME MARIE-REINE DE LA PAIX, ORGANISME SANS BUT LUCRATIF, POUR L'EXPLOITATION ET LA GESTION D'UN SERVICE DE CASSE-CROÛTE DURANT LES SAISONS HIVERNALES 2014 ET 2015, DE LA MI-DÉCEMBRE À LA MI-MARS, AU CHÂTEAU GOHIER DANS LE PARC-NATURE DU CAP-SAINT-JACQUES À PIERREFONDS. ","CG13 0452",2013-12-02,"1"
"IBM CANADA LTÉE","100 % AGGLOMÉRATION","SERVICE DES TECHNOLOGIES DE L'INFORMATION","DIRECTION","1133490003","ACCORDER UN CONTRAT DE GRÉ À GRÉ À IBM CANADA, PAR L'ENTREMISE DE L'ENTENTE AVEC LE CSPQ, POUR LA RÉ-INSCRIPTION DE LA COUVERTURE ANNUELLE DE L'ENTRETIEN ET DU REMPLACEMENT LOGICIELS SELON LE PROGRAMME PASSEPORT AVANTAGE POUR LES PRODUITS AU CATALOGUE IBM (MAXIMO), POUR LA PÉRIODE DU 1ER DÉCEMBRE 2013 AU 30 NOVEMBRE 2014, POUR UNE SOMME MAXIMALE DE 438 623,09 $, TAXES INCLUSES","CG13 0453",2013-12-02,"438623"
"FILTRUM INC.","100 % AGGLOMÉRATION","SERVICE DE L'EAU","DIRECTION DE L'ÉPURATION DES EAUX USÉES","1133334021","ACCORDER UN CONTRAT À FILTRUM INC., POUR UNE SOMME MAXIMALE DE 999 638,64 $, TAXES INCLUSES, POUR LES TRAVAUX D'ÉLECTRICITÉ, DE CONTRÔLE, DE GÉNIE CIVIL ET DE MÉCANIQUE POUR LA CONSTRUCTION DE 8 SYSTÈMES DE SUIVI ENVIRONNEMENTAL (SURVERSES)  - APPEL D'OFFRES PUBLIC 3277 - 2 SOUMISSIONNAIRES","CG13 0454",2013-12-02,"999638"
"NORTHROP GRUMMAN SYSTEMS CORPORATION","100 % AGGLOMÉRATION","SERVICE DE POLICE DE LA VILLE DE MONTRÉAL","DIRECTION DES OPÉRATIONS - ACTIVITÉS DE SOUTIEN","1130206006","AUTORISER UNE DÉPENSE ADDITIONNELLE DE 254 320,00$ USD (264 162,18$ CAD) POUR LA FOURNITURE D'UN SERVICE DE TECHNICIENS, POUR LE SYSTÈME DE RÉPARTITION ASSISTÉE PAR ORDINATEUR (RAO), POUR UNE PÉRIODE DE CINQ (5) ANS À COMPTER DU 29 NOVEMBRE 2013 AU 28 NOVEMBRE 2018 DANS LE CADRE DU CONTRAT INTERVENU ENTRE LA VILLE DE MONTRÉAL ET NORTHROP GRUMMAN SYSTEMS CORPORATION MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 2 521 177$ USD (2 618 746,55$ CAD) À 2 775 497$ USD (2 882 908,73$ CAD).","CG13 0455",2013-12-02,"254320"
"PRODUITS CHIMIQUES CCC LTÉE","100 % AGGLOMÉRATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DE L'APPROVISIONNEMENT","1134119008","CONCLURE AVEC LA FIRME PRODUITS CHIMIQUES CCC LTÉE., UNE ENTENTE-CADRE D'UNE DURÉE DE 36 MOIS AVEC UNE OPTION DE DEUX PROLONGATIONS DE DOUZE (12) MOIS CHACUNE, AUX MÊMES CONDITIONS, POUR LA FOURNITURE ET LA LIVRAISON SUR DEMANDE DE CHARBON ACTIVÉ CALGON WPL, EN VRAC, UTILISÉ POUR LES USINES D'EAU POTABLE DE DORVAL ET DE POINTE-CLAIRE  -  APPEL D'OFFRES PUBLIC 13-12742 - (ART. 18 : 2 SOUM. / 1 SEUL CONFORME) - MONTANT TOTAL ESTIMÉ DE L'ENTENTE: 510 661,46 $ ","CG13 0456",2013-12-02,"510661"
"CA CANADA COMPANY","DÉPENSES MIXTES D'ADMINISTRATION GÉNÉRALE. 51,9 % AGGLOMÉRATION. 48.1% VILLE","SERVICE DES TECHNOLOGIES DE L'INFORMATION","DIRECTION","1126075004","ACCORDER UN CONTRAT DE SERVICES PROFESSIONNELS À CA CANADA COMPANY POUR LE PARAMÉTRAGE DE L'OUTIL CA SERVICE DESK MANAGER, POUR UNE SOMME MAXIMALE DE 115 549,88 $, TAXES INCLUSES, DANS LE CADRE DE LA RÉALISATION DU PROJET GESTION DES SERVICES TI - APPEL D'OFFRES PUBLIC 13-12574 (UN SOUMISSIONNAIRE) / APPROUVER UN PROJET DE CONVENTION À CETTE FIN","CG13 0457",2013-12-02,"115550"
"BAUVAL CMM, DIVISION DE BAU-VAL INC.","ENTENTE CADRE. RÉPARTITION SELON UTILISATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DE L'APPROVISIONNEMENT","1134119009","CONCLURE TROIS ENTENTES CADRE POUR UNE DURÉE DE TRENTE-SIX (36) MOIS AVEC UNE OPTION DE PROLONGATION DE DEUX PÉRIODES DE DOUZE (12) MOIS AVEC LES FIRMES RECY BÉTON INC. (859 531,02 $), BAUVAL CMM, DIVISION DE BAU-VAL INC. (578 335,75 $) ET CONSTRUCTION GFL INC. (548 775,68 $), POUR LA FOURNITURE DE SERVICE DE SITES POUR LA VALORISATION DE LA PIERRE, DU ROC, DU BÉTON ET DE L'ASPHALTE- APPEL D'OFFRES PUBLIC 13-12769 (4 SOUMISSIONNAIRES.)","CG13 0467",2013-12-20,"578336"
"CONSTRUCTION GFL INC.","ENTENTE CADRE. RÉPARTITION SELON UTILISATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DE L'APPROVISIONNEMENT","1134119009","CONCLURE TROIS ENTENTES CADRE POUR UNE DURÉE DE TRENTE-SIX (36) MOIS AVEC UNE OPTION DE PROLONGATION DE DEUX PÉRIODES DE DOUZE (12) MOIS AVEC LES FIRMES RECY BÉTON INC. (859 531,02 $), BAUVAL CMM, DIVISION DE BAU-VAL INC. (578 335,75 $) ET CONSTRUCTION GFL INC. (548 775,68 $), POUR LA FOURNITURE DE SERVICE DE SITES POUR LA VALORISATION DE LA PIERRE, DU ROC, DU BÉTON ET DE L'ASPHALTE- APPEL D'OFFRES PUBLIC 13-12769 (4 SOUMISSIONNAIRES.)","CG13 0467",2013-12-20,"548776"
"RECY BETON INC.","ENTENTE CADRE. RÉPARTITION SELON UTILISATION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION DE L'APPROVISIONNEMENT","1134119009","CONCLURE TROIS ENTENTES CADRE POUR UNE DURÉE DE TRENTE-SIX (36) MOIS AVEC UNE OPTION DE PROLONGATION DE DEUX PÉRIODES DE DOUZE (12) MOIS AVEC LES FIRMES RECY BÉTON INC. (859 531,02 $), BAUVAL CMM, DIVISION DE BAU-VAL INC. (578 335,75 $) ET CONSTRUCTION GFL INC. (548 775,68 $), POUR LA FOURNITURE DE SERVICE DE SITES POUR LA VALORISATION DE LA PIERRE, DU ROC, DU BÉTON ET DE L'ASPHALTE- APPEL D'OFFRES PUBLIC 13-12769 (4 SOUMISSIONNAIRES.)","CG13 0467",2013-12-20,"859531"
