REGION_ADMINISTRATIVE,ETABLISSEMENT,ETABLISSEMENT_PARTENAIRE,ANNEE_FINANCIERE,PROGRAMME,VOLET,RESPONSABLE_DU_PROJET,TITRE,RESEAU,MONTANT_MES,MONTANT_MSSS,MONTANT_MEI,MONTANT_TOTAL_QUEBEC,COUT_TOTAL,SECTEUR,DOMAINE_STRATEGIQUE,DOMAINE_PRIMAIRE,DISCIPLINE_PRIMAIRE
"Montréal","École de technologie supérieure (ETS)","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Julien WEISS","Mécanique des fluides expérimentale appliquée à l'avion vert: de la formation du mélange au contrôle des écoulements","MEES",154420,,,154420,386104,"Sciences naturelles et génie","Aérospatiale","Systèmes de transport","Génie mécanique"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jan ADAMOWSKI","Élaboration de nouvelles méthodes d'étude et de prédiction des effets d'îlots de chaleur urbains sur les ressources en eau au moyen de la télédétection et de systèmes d'information géographique (SIG)","MEES",110000,,,110000,275000,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Hydrologie","Génie civil"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Viacheslav ADAMCHUK","Technologie intégrée de détection des sols en vue d'une gestion optimisée des ressources terrestres","MEES",100000,,,100000,250000,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Agriculture","Génie rural"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Subhasis GHOSHAL","Laboratoire des nanotechnologies de l'eau propre","MEES",233200,,,233200,583000,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Pollution et protection de l'environnement","Génie de l'environnement"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Paul KRY","Laboratoire de saisie des interactions","MEES",59741,,,59741,149353,"Sciences naturelles et génie","TIC (télécommunications, multimédia, logiciels, services informatiques)","Développement de logiciels","Technologie de l'information: informatique"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Gwyn CAMPBELL","Laboratoire des données à des fins de recherche sur les interactions entre l'homme et l'environnement (DRIHE)","MEES",151089,,,151089,377723,"Sciences sociales et humaines","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Autre recherche","Histoire"
"Capitale-Nationale","Université Laval","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Martin SIMARD","Infrastructure pour étudier les régimes de perturbations et le fonctionnement des écosystèmes forestiers nordiques à l'échelle du paysage","MEES",58971,,,58971,147430,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Espèces vivantes et biotopes","Évolution et écologie"
"Capitale-Nationale","Université Laval","CIUSSS de la Capitale-Nationale - Institut universitaire en santé mentale de Québec - Centre de recherche","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Martin PARENT","Laboratoire intégrant l'imagerie confocale, l'électrophysiologie et l'injection neuronale unitaire pour l'étude de la microcircuiterie striatale","MSSS",,124963,,124963,312409,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Maladies organiques du système nerveux central"
"Montréal","Université de Montréal","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Carl GAGNON","Laboratoire de pathogenèse des maladies infectieuses animales (LPMIA)","MEES",263457,,,263457,702027,"Sciences naturelles et génie","Agroalimentaire","Agriculture","Microbiologie"
"Montréal","Université de Montréal","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Sébastien SAUVÉ","Système pour l'analyse ultrarapide des contaminants émergents, de leurs métabolites et de leurs produits dérivés","MEES",204876,,,204876,515223,"Sciences naturelles et génie","Environnement et science du climat","Pollution et protection de l'environnement","Chimie analytique"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Tomislav FRISCIC","Laboratoire de chimie verte mécanochimique et à l'état solide","MEES",190000,,,190000,475000,"Sciences naturelles et génie","Développement durable et technologies vertes","Amélioration production., fab. et tech. industrielles (rech. gén.)","Science et technologie des matériaux"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","Russell HEPPLE","Laboratoire pour le diagnostic du vieillissement musculaire","MSSS",,72471,,72471,181178,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Système musculo-squelettique et réadaptation"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jaime PALTER","Laboratoire autonome d'observation de la circulation océanique et des variables biogéochimiques","MEES",80000,,,80000,200000,"Sciences naturelles et génie","Secteur maritime (sciences de la mer et technologies maritimes)","Mers et océans","Océanographie"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jean-Philip LUMB","Production de molécules organiques fonctionnelles à partir de biomasse renouvelable","MEES",160000,,,160000,400000,"Sciences naturelles et génie","Développement durable et technologies vertes","Produits de l'industrie chimique","Chimie organique"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Yi HUANG","Simulateur de système d'observation du climat","MEES",80000,,,80000,200000,"Sciences naturelles et génie","Environnement et science du climat","Atmosphère","Science de l'atmosphère"
"Estrie","Université de Sherbrooke","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Luc FRÉCHETTE","Plateforme multidisciplinaire de test pour la performance du photovoltaïque concentré (> 1000x) et l'évaluation de nouvelles technologies","MEES",120000,,,120000,300199,"Sciences naturelles et génie","Énergie","Sources d'énergie renouvelables","Multidisciplinaire en SNG"
"Montérégie","Cégep de St-Hyacinthe","Centre d'excellence des technologies textiles géosynthétiques et matériaux souples (Groupe CTT)","2011-2012","Fonds collège-industrie pour l'innovation","Volet 1 - Infrastructure de recherche","Olivier VERMEERSCH","Infrastructure de développement de préformes 3D complexes pour l'aéronautique et autres secteurs industriels","MEES",800000,,,800000,2276500,"Sciences naturelles et génie","Aérospatiale","Fabrication et réparation de matériel aérospatial","Science et technologie des matériaux"
"Montréal","Université Concordia","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Pasquale FORGIONE","Plateforme à haute capacité de production pour le criblage par réactivité chimique","MEES",95182,,,95182,237956,"Sciences naturelles et génie","Biopharmaceutique","Produits pharmaceutiques","Chimie organique"
"Mauricie","Université du Québec à Trois-Rivières (UQTR)","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Frédéric DOMINGUE","Laboratoire de caractérisation des microsystèmes RF pour la détection d'hydrogène","MEES",161886,,,161886,404716,"Sciences naturelles et génie","Micro-électronique","Industries électroniques et connexes","Génie électrique et électronique"
"Estrie","Université de Sherbrooke","","2012-2013","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Denis GROLEAU","Microorganismes et procédés industriels en biotechnologie","MEES",94685,,,94685,236694,"Sciences naturelles et génie","Biotechnologies (génomique, protéomique, bioinformatique)","Production et technologie industrielles","Microbiologie"
"Montréal","Université McGill","CIUSSS du Centre-Ouest-de-l'Île-de-Montréal - Hôpital général juif - Institut Lady Davis (CR)","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Ivan TOPISIROVIC","Décryptage du rôle de réseaux d'expression génique post-transcriptionnelle dans la régulation d'expression des gènes dans des cellules normales et cancérigènes","MSSS",,86000,,86000,215000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Biochimie"
"Montréal","Université de Montréal","","2012-2013","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Andrea BIANCHI","Chaire de recherche du Canada sur les nouveaux matériaux pour la spintronique","MEES",79924,,,79924,199810,"Sciences naturelles et génie","Énergie","Industries électroniques et connexes","Physique"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Christopher SOLOMON","Capteurs automatisés, laboratoire de modélisation informatique haute performance et autres instruments de mesure des liens entre réseaux trophiques et cycles carbone des rives et des lacs","MEES",75000,,,75000,187500,"Sciences naturelles et génie","Environnement et science du climat","Atmosphère et climat","Évolution et écologie"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Dieter REINHARDT","Étude des systèmes de microfibrilles ou de fibres élastiques à l'état normal et pathologique","MEES",280000,,,280000,700000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Biochimie"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Anastasia NIJNIK","Les rôles des histones H2A déubiquitinases (H2A-DUBs) dans l'hématopoïèse et le système immunitaire","MEES",100000,,,100000,250000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Sc. de la vie liées à santé publique + maladies humaines"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Yajing LIU","Modélisation de la dynamique de déformation de la croûte terrestre dans des formations marines, terrestre et glaciaire","MEES",117600,,,117600,294000,"Sciences naturelles et génie","Secteur maritime (sciences de la mer et technologies maritimes)","Croûte et enveloppe terrestres","Géophysique"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Colin ROGERS","Laboratoire d'atténuation des risques sismiques des infrastructures critiques","MEES",80000,,,80000,200000,"Sciences naturelles et génie","Développement durable et technologies vertes","Risques naturels","Génie des structures"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Sabrina LESLIE","Étude à l'aide de molécules uniques des processus rapides de recherche par des biomolécules d'amorçage de réparation d'ADN","MEES",392000,,,392000,980000,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Physique"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Kirk BEVAN","Laboratoire de prototypage virtuel de matériaux nanoélectroniques","MEES",40000,,,40000,100000,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Industries électroniques et connexes","Génie électrique et électronique"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Nathalie JOHNSON","Activer la mort cellulaire dans les lymphomes incurables","MSSS",,100000,,100000,509781,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Cancer/oncologie"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Connie KRAWCZYK","Régulation moléculaire des fonctions des cellules dendritiques","MEES",100000,,,100000,250000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Biologie cellulaire"
"Montréal","Université de Montréal","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Ariane BURKE","Laboratoire d'anthropologie spécialisé en analyses écomorphologiques","MEES",294965,,,294965,737413,"Sciences sociales et humaines","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Autre recherche","Anthropologie"
"Montréal","Université de Montréal","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Oliver SONNENTAG","Influence de la variation de l'épaisseur de la couche active sur les tourbières à pergélisol, les traces d'échanges gazeux et sur l'empreinte de carbone (PERPLEX)","MEES",64723,,,64723,161807,"Sciences naturelles et génie","Environnement et science du climat","Atmosphère","Science de l'atmosphère"
"Montréal","Université de Montréal","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","David LAFRENIÈRE","Une caméra pour rechercher de nouvelles planètes et leur satellites dans les systèmes d'exoplanètes en transit","MEES",85231,,,85231,213078,"Sciences naturelles et génie","Astronomie et recherche spatiale","Autre recherche","Astronomie et astrophysique"
"Montréal","Université de Montréal","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jennifer ESTALL","Le rôle des régulateurs de la transcription dans le métabolisme humain et la prévention du diabète","MEI",,,160065,160065,400161,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Médecine préventive","Nutrition"
"Montréal","Université de Montréal","Centre de recherche du CHUM - Technopôle Angus","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Thierry ALQUIER","Signalisation centrale des lipides et  régulation de l'équilibre énergétique","MSSS",,63460,,63460,158641,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Maladies organiques du système nerveux central"
"Montréal","Université de Montréal","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","Matthias FRIEDRICH","Imagerie par résonnance magnétique à 3 Tesla pour l'amélioration de l'évaluation cardiovasculaire","MSSS",,375000,,375000,937500,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Cardiologie"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Thomas BUREAU","Plate-forme automatisée de phénomique végétale de McGill","MEES",797980,,,797980,1994950,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Agriculture","Génétique"
"Montréal","Université de Montréal","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Pierre THIBAULT","Plateforme de protéomique innovatrice pour le séquençage de novo et l'analyse des protéines et de leurs modifications","MEES",694235,,,694235,1998108,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Santé","Biochimie"
"Montréal","Université Concordia","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Ahmed KISHK","Chaire de recherche du Canada sur les systèmes avancés d'antenne","MEES",150000,,,150000,419820,"Sciences naturelles et génie","TIC (télécommunications, multimédia, logiciels, services informatiques)","Systèmes de télécommunications","Génie électrique et électronique"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Janine MAUZEROLL","Laboratoire d'imagerie électrochimique pour la détection de systèmes biologiques","MEES",395421,,,395421,988553,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Chimie analytique"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Hiroshi TSUDA","Laboratoire de drosophiles pour l'élucidation des mécanismes moléculaires des maladies neurodégénératives","MEES",60000,,,60000,150000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Sc. de la vie liées à santé publique + maladies humaines"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Alanna WATT","Développement des circuits cérébelleux","MEES",220000,,,220000,550000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Maladies organiques du système nerveux central"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Michael WITCHER","Dérèglement des voies de régulation épigénétiques dans le cancer du sein","MSSS",,60000,,60000,150000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Biologie moléculaire"
"Estrie","Université de Sherbrooke","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Nadi BRAIDY","Plateforme d'excitation et de diagnostic in-situ de nanomatériaux","MEES",107336,,,107336,268342,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Technique de production","Science et technologie des matériaux"
"Estrie","Université de Sherbrooke","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Ryan GOSSELIN","Laboratoire de contrôle de qualité de procédés industriels","MEES",81551,,,81551,203937,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Production et technologie industrielles","Génie chimique"
"Estrie","Université de Sherbrooke","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jay LACEY","Étude de l'écoulement et analyses écohydrauliques en canal à surface libre","MEES",90000,,,90000,233534,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Génie civil","Génie civil"
"Estrie","Université de Sherbrooke","","2011-2012","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Ammar YAHIA","Étude de la thixotropie et de la rhéologie des bétons à haute performance (BHP) pour améliorer la performance et la durabilité des infrastructures routières","MEES",86000,,,86000,265365,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Infrastructures et aménagement du territoire","Génie civil"
"Montréal","Université de Montréal","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Michael TYERS","Chaire de recherche du Canada en biologie synthétique et sur les systèmes du contrôle de la croissance cellulaire","MEES",280000,,,280000,700000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Biochimie"
"Mauricie","Université du Québec à Trois-Rivières (UQTR)","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Éric ASSELIN","Chaire de recherche du Canada en gynéco-oncologie moléculaire","MEES",27827,,,27827,69568,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Système génito-urinaire"
"Mauricie","Université du Québec à Trois-Rivières (UQTR)","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Natacha BRUNELLE","Chaire de recherche du Canada sur les trajectoires d'usage de drogues et les problématiques associées","MEES",,,,0,22731,"Sciences sociales et humaines","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Recherches psychosociales et comportements - général"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Heidi MCBRIDE","Examen du rôle de la plasticité des mitochondries dans la fonction et la survie des neurones","MEES",100000,,,100000,344462,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Biologie cellulaire"
"Montréal","Université McGill","","2012-2013","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Wissam MUSALLAM","Chaire de recherche du Canada en ingénierie électrique et informatique","MEES",100000,,,100000,250000,"Sciences naturelles et génie","Biotechnologies (génomique, protéomique, bioinformatique)","Génie biomédical et pharmacologie","Génie biomédical"
"Montréal","Université McGill","","2012-2013","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Sebastien FAUCHER","Caractérisation moléculaire de l'effet des facteurs environmentaux sur les pathogènes bactériens","MEES",99411,,,99411,248527,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Eau","Microbiologie"
"Montréal","Université McGill","","2012-2013","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Daniel KIRSHBAUM","Système de prévision d'ensemble à haute résolution aux fins de la prévision probabiliste des orages convectifs","MEES",80000,,,80000,200000,"Sciences naturelles et génie","Environnement et science du climat","Atmosphère","Science de l'atmosphère"
"Capitale-Nationale","Institut national de la recherche scientifique (INRS)","","2012-2013","Fonds de l'avant-garde","","Jean-Claude KIEFFER","Vers une source de lumière compacte: une plateforme dédiée et d'avant-garde pour le Canada  basée sur l'accélération d'électrons par sillage laser","MEES",183052,,,183052,457630,"Sciences naturelles et génie","Optique-photonique","Fabrication de tout autre type d'instrument","Sciences naturelles et Génie (SNG)"
"Capitale-Nationale","Institut national de la recherche scientifique (INRS)","","2012-2013","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Jonathan ROBERGE","Laboratoire nouveaux environnements numériques et intermédiation culturelle (NENIC)","MEES",51356,,,51356,128390,"Sciences sociales et humaines","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Culture","Sociologie"
"Montréal","Université Concordia","","2012-2013","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Krista LYNES","Studio des médias féministes","MEES",90000,,,90000,229874,"Sciences sociales et humaines","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Structures et relations sociales (rech. générale)","Sciences humaines et sociales (SHS)"
"Montréal","Université de Montréal","CIUSSS de l'Est-de-l'Île-de-Montréal - Institut universitaire en santé mentale de Montréal","2012-2013","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Lan XIONG","Infrastructure pour les études génétiques des maladies psychiatriques neurodéveloppementales","MSSS",,100000,,100000,255979,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Génétique"
"Montréal","Université McGill","","2012-2013","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","François BOUFFARD","Infrastructure pour l'opération flexible des réseaux électriques faibles en carbone","MEES",59951,,,59951,149877,"Sciences naturelles et génie","Énergie","Production, distribution et utilisation rationelle de l'énergie","Génie électrique et électronique"
"Capitale-Nationale","Institut national de la recherche scientifique (INRS)","","2012-2013","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Eric DÉZIEL","Complétion de l'établissement d'un laboratoire de génomique fonctionnelle pour recherches en socio-microbiologie","MEES",79869,,,79869,199673,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Structures et relations sociales","Microbiologie"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Irah KING","Création d'un laboratoire pour l'étude de l'immunité humorale aux infections activée par les cellules de type Th2","MEES",98714,,,98714,246786,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Sc. de la vie liées à santé publique + maladies humaines"
"Mauricie","Cégep de Shawinigan","Centre national en électrochimie et en technologies environnementales (CNETE)","2012-2013","Fonds collège-industrie pour l'innovation","Volet 1 - Infrastructure de recherche","Nancy DÉZIEL","Accroissement du laboratoire des technologies et de l'environnement - Volet électrochimie et filtration des gaz","MEES",514086,,,514086,1285215,"Sciences naturelles et génie","Développement durable et technologies vertes","Amélioration production., fab. et tech. industrielles (rech. gén.)","Sciences naturelles et Génie (SNG)"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Rowan BARRETT","Génomique expérimentale de l'adaptation à des environnements changeants","MEES",140000,,,140000,350000,"Sciences naturelles et génie","Biotechnologies (génomique, protéomique, bioinformatique)","Espèces vivantes et biotopes","Évolution et écologie"
"Montréal","Université McGill","","2012-2013","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Maziar DIVANGAHI","Immunité contre les pathogènes pulmonaires intracellulaires","MEES",100000,,,100000,250000,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Santé","Maladies infectieuses et parasitaires"
"Montréal","Université de Montréal","","2012-2013","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Sophie BRETON","Installation d'un laboratoire de physiologie et de biologie évolutive des invertébrés","MEES",203179,,,203179,507947,"Sciences naturelles et génie","Environnement et science du climat","Environnement (rech. générale)","Évolution et écologie"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Yaoyao ZHAO","Infrastructure de recherche sur la contrôle des procédés, la modélisation et l'analyse de durabilité de la fabrication additive","MEES",80000,,,80000,200000,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Production et technologie industrielles","Sciences naturelles et Génie (SNG)"
"Capitale-Nationale","Université Laval","Institut universitaire de cardiologie et de pneumologie de Québec (CRIUCPQ) - Centre de recherche","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Mathieu LAPLANTE","Infrastructure pour l'étude de la signalisation cellulaire et de l'adipogenèse","MSSS",,124290,,124290,312345,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Santé","Biologie moléculaire et cellulaire"
"Montréal","Université du Québec à Montréal (UQAM)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Alexandre GAGNON","Établissement d'un laboratoire de synthèse organique et de chimie médicinale","MEES",69200,,,69200,176878,"Sciences naturelles et génie","Biopharmaceutique","Produits pharmaceutiques","Sciences naturelles et Génie (SNG)"
"Montréal","Université de Montréal","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Alexis VALLÉE-BÉLISLE","Établissement d'une infrastructure pour le développement d'interrupteurs moléculaires et de nanomachines d'ADN pour des applications de biocapteurs et d'administration ciblée de médicaments","MEES",175820,,,175820,439551,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Génie biomédical et pharmacologie","Biochimie"
"Montréal","Université de Montréal","Centre hospitalier universitaire Mère-Enfant - Hôpital Ste-Justine","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Elsa ROSSIGNOL","Acquisition d'un microscope confocal pour investiguer les mécanismes cellulaires sous-tendant les épilepsies congénitales","MSSS",,123898,,123898,309747,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Troubles mentaux et du comportement"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Sidong HUANG","Chaire de recherche du Canada en génomique fonctionnelle","MEES",132000,,,132000,330000,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Génie biomédical et pharmacologie","Biologie moléculaire"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Luda DIATCHENKO","Chaire d'excellence en recherche du Canada en médecine personnalisée sur la  douleur","MEES",785129,,,785129,1962822,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Sciences médicales cliniques, divers"
"Montréal","Université du Québec à Montréal (UQAM)","","2013-2014","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Clint KELLY","Chaire de recherche du Canada en écologie comportementale","MEES",101720,,,101720,254301,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Environnement (rech. générale)","Biologie animale"
"Montréal","Université de Montréal","CIUSSS du Nord-de-l'Île-de-Montréal","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Valérie MONGRAIN","Systèmes pour l'étude à haute capacité de la plasticité du cerveau dépendante du sommeil","MSSS",,60000,,60000,179447,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Neurosciences"
"Estrie","Université de Sherbrooke","CIUSSS de l'Estrie - Centre hospitalier universitaire de Sherbrooke (CHUS) - Centre de recherche clinique Étienne-Le Bel","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Pedro GERALDES","Imagerie cellulaire en temps reel pour étudier les complications vasculaires du diabète","MSSS",,92032,,92032,230437,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Physiologie"
"Montréal","École de technologie supérieure (ETS)","","2012-2013","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Sylvain G. CLOUTIER","Chaire de recherche du Canada sur les matériaux et les dispositifs optoélectroniques hybrides","MEES",130801,,,130801,327207,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Utilisation rationnelle de l'énergie","Génie électrique et électronique"
